1.32E-02	1.02E+00	6.68E-03
1.33E-02	1.01E+00	6.47E-03
1.34E-02	1.00E+00	5.74E-03
1.36E-02	1.01E+00	5.29E-03
1.37E-02	1.02E+00	5.19E-03
1.39E-02	1.01E+00	4.75E-03
1.40E-02	1.00E+00	4.59E-03
1.41E-02	9.97E-01	6.38E-03
1.42E-02	1.01E+00	5.94E-03
1.44E-02	1.00E+00	5.50E-03
1.45E-02	9.96E-01	5.18E-03
1.47E-02	1.00E+00	5.09E-03
1.49E-02	9.91E-01	4.81E-03
1.50E-02	9.94E-01	4.73E-03
1.52E-02	9.90E-01	4.63E-03
1.54E-02	9.77E-01	3.68E-03
1.56E-02	9.76E-01	3.61E-03
1.57E-02	9.77E-01	4.45E-03
1.59E-02	9.62E-01	4.30E-03
1.60E-02	9.67E-01	4.25E-03
1.62E-02	9.58E-01	4.00E-03
1.65E-02	9.48E-01	3.88E-03
1.67E-02	9.35E-01	3.68E-03
1.69E-02	9.20E-01	3.29E-03
1.71E-02	8.95E-01	2.92E-03
1.73E-02	8.55E-01	2.76E-03
1.76E-02	8.02E-01	2.59E-03
1.77E-02	7.70E-01	3.53E-03
1.79E-02	6.76E-01	3.05E-03
1.82E-02	5.66E-01	2.63E-03
1.82E-02	5.53E-01	4.22E-03
1.84E-02	4.30E-01	3.33E-03
1.85E-02	4.06E-01	2.70E-03
1.87E-02	3.00E-01	2.01E-03
1.89E-02	2.40E-01	1.47E-03
1.90E-02	1.99E-01	1.54E-03
1.92E-02	1.59E-01	1.12E-03
1.93E-02	1.33E-01	1.20E-03
1.94E-02	1.12E-01	8.88E-04
1.97E-02	9.41E-02	7.26E-04
2.01E-02	9.41E-02	7.12E-04
2.02E-02	9.63E-02	9.69E-04
2.05E-02	1.01E-01	9.23E-04
2.09E-02	1.04E-01	8.18E-04
2.12E-02	9.99E-02	7.33E-04
2.16E-02	9.16E-02	6.78E-04
2.19E-02	7.96E-02	6.17E-04
2.23E-02	6.46E-02	5.43E-04
2.27E-02	5.12E-02	4.75E-04
2.31E-02	3.96E-02	4.15E-04
2.35E-02	3.10E-02	3.67E-04
2.37E-02	2.79E-02	4.93E-04
2.42E-02	2.38E-02	4.55E-04
2.46E-02	2.09E-02	4.23E-04
2.51E-02	2.05E-02	3.89E-04
2.56E-02	2.06E-02	3.56E-04
2.61E-02	2.03E-02	3.22E-04
2.67E-02	1.95E-02	3.07E-04
2.72E-02	1.79E-02	2.75E-04
2.78E-02	1.50E-02	2.26E-04
2.84E-02	1.24E-02	1.96E-04
2.87E-02	1.12E-02	2.55E-04
2.94E-02	8.63E-03	2.20E-04
3.01E-02	7.32E-03	2.02E-04
3.08E-02	6.07E-03	1.64E-04
3.16E-02	6.08E-03	1.51E-04
3.24E-02	5.58E-03	1.42E-04
3.32E-02	5.15E-03	1.23E-04
3.41E-02	4.58E-03	1.13E-04
3.50E-02	3.72E-03	1.03E-04
3.52E-02	3.65E-03	5.71E-05
3.54E-02	3.42E-03	1.43E-04
3.54E-02	3.42E-03	7.57E-05
3.60E-02	2.94E-03	6.77E-05
3.65E-02	2.64E-03	6.19E-05
3.70E-02	2.34E-03	5.35E-05
3.76E-02	2.29E-03	4.99E-05
3.82E-02	2.17E-03	4.78E-05
3.88E-02	2.05E-03	4.61E-05
3.94E-02	1.97E-03	4.39E-05
4.01E-02	1.84E-03	4.23E-05
4.07E-02	1.75E-03	4.01E-05
4.14E-02	1.54E-03	3.63E-05
4.21E-02	1.35E-03	3.32E-05
4.29E-02	1.17E-03	3.08E-05
4.36E-02	1.07E-03	2.94E-05
4.44E-02	9.64E-04	2.79E-05
4.52E-02	9.39E-04	2.80E-05
4.61E-02	8.15E-04	2.13E-05
4.70E-02	7.44E-04	1.93E-05
4.74E-02	7.08E-04	2.39E-05
4.83E-02	6.44E-04	2.21E-05
4.93E-02	5.47E-04	1.98E-05
5.03E-02	5.04E-04	1.88E-05
5.13E-02	4.66E-04	1.80E-05
5.24E-02	4.44E-04	1.73E-05
5.36E-02	4.22E-04	1.66E-05
5.48E-02	3.52E-04	1.46E-05
5.60E-02	3.11E-04	1.30E-05
5.73E-02	2.81E-04	1.21E-05
5.87E-02	2.48E-04	1.12E-05
6.01E-02	2.22E-04	1.06E-05
6.16E-02	1.82E-04	8.74E-06
6.32E-02	1.64E-04	7.71E-06
6.48E-02	1.44E-04	3.42E-06
6.49E-02	1.41E-04	7.14E-06
6.58E-02	1.39E-04	3.23E-06
6.67E-02	1.41E-04	3.13E-06
6.77E-02	1.38E-04	3.02E-06
6.88E-02	1.21E-04	2.75E-06
6.98E-02	1.07E-04	2.54E-06
7.03E-02	1.02E-04	3.47E-06
7.14E-02	9.54E-05	3.38E-06
7.26E-02	9.49E-05	3.43E-06
7.38E-02	9.06E-05	3.35E-06
7.50E-02	8.05E-05	3.07E-06
7.63E-02	7.44E-05	2.87E-06
7.76E-02	6.79E-05	2.57E-06
7.89E-02	6.71E-05	2.45E-06
8.03E-02	5.83E-05	2.27E-06
8.18E-02	6.07E-05	2.37E-06
8.33E-02	4.90E-05	2.15E-06
8.48E-02	5.17E-05	2.20E-06
8.64E-02	4.71E-05	2.07E-06
8.81E-02	4.28E-05	1.91E-06
8.99E-02	3.83E-05	1.74E-06
9.17E-02	3.89E-05	1.69E-06
9.36E-02	3.57E-05	1.39E-06
9.55E-02	3.28E-05	1.31E-06
9.76E-02	2.83E-05	1.17E-06
9.97E-02	3.07E-05	1.22E-06
1.02E-01	2.73E-05	1.13E-06
1.04E-01	2.31E-05	1.03E-06
1.07E-01	2.22E-05	1.00E-06
1.09E-01	2.07E-05	9.53E-07
1.12E-01	1.84E-05	8.88E-07
1.15E-01	1.81E-05	9.06E-07
1.17E-01	1.65E-05	3.51E-07
1.17E-01	1.63E-05	4.63E-07
1.18E-01	1.67E-05	8.53E-07
1.19E-01	1.65E-05	4.38E-07
1.21E-01	1.58E-05	4.12E-07
1.21E-01	1.59E-05	8.18E-07
1.22E-01	1.41E-05	3.75E-07
1.24E-01	1.42E-05	3.47E-07
1.26E-01	1.32E-05	3.26E-07
1.28E-01	1.27E-05	3.12E-07
1.30E-01	1.22E-05	3.03E-07
1.32E-01	1.10E-05	2.90E-07
1.34E-01	1.07E-05	2.95E-07
1.36E-01	1.02E-05	2.87E-07
1.39E-01	9.09E-06	2.50E-07
1.41E-01	7.67E-06	2.10E-07
1.43E-01	6.93E-06	1.98E-07
1.46E-01	6.59E-06	1.93E-07
1.48E-01	6.15E-06	1.88E-07
1.51E-01	5.28E-06	1.78E-07
1.54E-01	4.56E-06	1.69E-07
1.57E-01	4.21E-06	1.59E-07
1.60E-01	3.76E-06	1.47E-07
1.63E-01	3.24E-06	1.33E-07
1.66E-01	2.80E-06	1.23E-07
1.70E-01	2.29E-06	1.12E-07
1.73E-01	2.17E-06	1.11E-07
1.77E-01	1.60E-06	9.84E-08
1.80E-01	1.36E-06	9.20E-08
1.84E-01	1.19E-06	8.40E-08
1.89E-01	9.80E-07	7.37E-08
1.93E-01	8.90E-07	7.15E-08
1.97E-01	6.97E-07	6.75E-08
2.02E-01	6.16E-07	6.40E-08
2.07E-01	7.82E-07	6.63E-08
2.13E-01	7.08E-07	6.40E-08
2.18E-01	6.44E-07	6.29E-08
2.24E-01	5.53E-07	5.93E-08
		
		
		
		
		
